obligation_id,target_module_path,target_symbol,target_source_path,is_constant_literal_result,is_executed,is_broad_appendix_grammar_row,uses_appendix_b_composite_target,passes_quality_gate
def.VisibilityOfDeclaration,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.SameAssembly,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
Access-Public,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
Access-Internal,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
Access-Private,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
def.TopLevelDeclarationPredicate,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
TopLevelVis-Ok,HelloUltraviolet::Reference::Names,runNamesVisibilityReference,Source/Reference/Names/Visibility.uv,false,true,false,false,true
prop.CollectNamesOrderIndependence,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.BindingKindDomain,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.BindingSourceDomain,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.NameInfoShape,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.ModuleNameMap,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.AliasMap,HelloUltraviolet::Reference::Names,runNamesImportsReference,Source/Reference/Names/Imports.uv,false,true,false,false,true
def.UsingMap,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
def.UsingValueMap,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
def.UsingTypeMap,HelloUltraviolet::Reference::Names,runNamesUsingDeclarationsReference,Source/Reference/Names/UsingDeclarations.uv,false,true,false,false,true
def.TypeMap,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
def.ClassMap,HelloUltraviolet::Reference::Names,runNamesQualifiedResolutionReference,Source/Reference/Names/QualifiedResolution.uv,false,true,false,false,true
